Word;Lexeme;Person;Number;Tense;Voice;Mood;Extension;Gloss;WordOld;Aspect;Tense2;WordSyl;WordSyl2 
urakundirwa;gukunda;three;sg;present cont;passive;indicative;applicative;to love;urakundirwa;imperfective;present;.u.ra.ku.ndi.rwa.;u.ra.ku.ndi.rwa
urakundanwa;gukunda;three;sg;present cont;passive;indicative;comitative;to love;urakundanwa;imperfective;present;.u.ra.ku.nda.nwa.;u.ra.ku.nda.nwa
urakundagurwa;gukunda;three;sg;present cont;passive;indicative;frequentative;to love;urakundagurwa;imperfective;present;.u.ra.ku.nda.gu.rwa.;u.ra.ku.nda.gu.rwa
urakundururwa;gukunda;three;sg;present cont;passive;indicative;iterative;to love;urakundururwa;imperfective;present;.u.ra.ku.ndu.ru.rwa.;u.ra.ku.ndu.ru.rwa
urakundurwa;gukunda;three;sg;present cont;passive;indicative;reversive;to love;urakundurwa;imperfective;present;.u.ra.ku.ndu.rwa.;u.ra.ku.ndu.rwa
turakundwa;gukunda;one;pl;present cont;passive;indicative;neutral;to love;turakundwa;imperfective;present;.tu.ra.ku.ndwa.;tu.ra.ku.ndwa
turakundishwa;gukunda;one;pl;present cont;passive;indicative;causative;to love;turakundishwa;imperfective;present;.tu.ra.ku.ndi.shwa.;tu.ra.ku.ndi.shwa
turakundirwa;gukunda;one;pl;present cont;passive;indicative;applicative;to love;turakundirwa;imperfective;present;.tu.ra.ku.ndi.rwa.;tu.ra.ku.ndi.rwa
turakundanwa;gukunda;one;pl;present cont;passive;indicative;comitative;to love;turakundanwa;imperfective;present;.tu.ra.ku.nda.nwa.;tu.ra.ku.nda.nwa
turakundagurwa;gukunda;one;pl;present cont;passive;indicative;frequentative;to love;turakundagurwa;imperfective;present;.tu.ra.ku.nda.gu.rwa.;tu.ra.ku.nda.gu.rwa
turakundururwa;gukunda;one;pl;present cont;passive;indicative;iterative;to love;turakundururwa;imperfective;present;.tu.ra.ku.ndu.ru.rwa.;tu.ra.ku.ndu.ru.rwa
turakundurwa;gukunda;one;pl;present cont;passive;indicative;reversive;to love;turakundurwa;imperfective;present;.tu.ra.ku.ndu.rwa.;tu.ra.ku.ndu.rwa
murakundwa;gukunda;two;pl;present cont;passive;indicative;neutral;to love;murakundwa;imperfective;present;.mu.ra.ku.ndwa.;mu.ra.ku.ndwa
murakundishwa;gukunda;two;pl;present cont;passive;indicative;causative;to love;murakundishwa;imperfective;present;.mu.ra.ku.ndi.shwa.;mu.ra.ku.ndi.shwa
murakundirwa;gukunda;two;pl;present cont;passive;indicative;applicative;to love;murakundirwa;imperfective;present;.mu.ra.ku.ndi.rwa.;mu.ra.ku.ndi.rwa
murakundanwa;gukunda;two;pl;present cont;passive;indicative;comitative;to love;murakundanwa;imperfective;present;.mu.ra.ku.nda.nwa.;mu.ra.ku.nda.nwa
murakundagurwa;gukunda;two;pl;present cont;passive;indicative;frequentative;to love;murakundagurwa;imperfective;present;.mu.ra.ku.nda.gu.rwa.;mu.ra.ku.nda.gu.rwa
murakundururwa;gukunda;two;pl;present cont;passive;indicative;iterative;to love;murakundururwa;imperfective;present;.mu.ra.ku.ndu.ru.rwa.;mu.ra.ku.ndu.ru.rwa
murakundurwa;gukunda;two;pl;present cont;passive;indicative;reversive;to love;murakundurwa;imperfective;present;.mu.ra.ku.ndu.rwa.;mu.ra.ku.ndu.rwa
barakundwa;gukunda;three;pl;present cont;passive;indicative;neutral;to love;barakundwa;imperfective;present;.ba.ra.ku.ndwa.;ba.ra.ku.ndwa
barakundishwa;gukunda;three;pl;present cont;passive;indicative;causative;to love;barakundishwa;imperfective;present;.ba.ra.ku.ndi.shwa.;ba.ra.ku.ndi.shwa
barakundirwa;gukunda;three;pl;present cont;passive;indicative;applicative;to love;barakundirwa;imperfective;present;.ba.ra.ku.ndi.rwa.;ba.ra.ku.ndi.rwa
barakundanwa;gukunda;three;pl;present cont;passive;indicative;comitative;to love;barakundanwa;imperfective;present;.ba.ra.ku.nda.nwa.;ba.ra.ku.nda.nwa
barakundagurwa;gukunda;three;pl;present cont;passive;indicative;frequentative;to love;barakundagurwa;imperfective;present;.ba.ra.ku.nda.gu.rwa.;ba.ra.ku.nda.gu.rwa
barakundururwa;gukunda;three;pl;present cont;passive;indicative;iterative;to love;barakundururwa;imperfective;present;.ba.ra.ku.ndu.ru.rwa.;ba.ra.ku.ndu.ru.rwa
barakundurwa;gukunda;three;pl;present cont;passive;indicative;reversive;to love;barakundurwa;imperfective;present;.ba.ra.ku.ndu.rwa.;ba.ra.ku.ndu.rwa
nkunda;gukunda;one;sg;present;active;indicative;neutral;to love;nkunda;perfective;present;.nku.nda.;nku.nda
nkundisha;gukunda;one;sg;present;active;indicative;causative;to love;nkundisha;perfective;present;.nku.ndi.sha.;nku.ndi.sha
nkundira;gukunda;one;sg;present;active;indicative;applicative;to love;nkundira;perfective;present;.nku.ndi.ra.;nku.ndi.ra
nkundana;gukunda;one;sg;present;active;indicative;comitative;to love;nkundana;perfective;present;.nku.nda.na.;nku.nda.na
nkundagura;gukunda;one;sg;present;active;indicative;frequentative;to love;nkundagura;perfective;present;.nku.nda.gu.ra.;nku.nda.gu.ra
nkundurura;gukunda;one;sg;present;active;indicative;iterative;to love;nkundurura;perfective;present;.nku.ndu.ru.ra.;nku.ndu.ru.ra
nkundura;gukunda;one;sg;present;active;indicative;reversive;to love;nkundura;perfective;present;.nku.ndu.ra.;nku.ndu.ra
ukunda;gukunda;two;sg;present;active;indicative;neutral;to love;ukunda;perfective;present;.u.ku.nda.;u.ku.nda
ukundisha;gukunda;two;sg;present;active;indicative;causative;to love;ukundisha;perfective;present;.u.ku.ndi.sha.;u.ku.ndi.sha
ukundira;gukunda;two;sg;present;active;indicative;applicative;to love;ukundira;perfective;present;.u.ku.ndi.ra.;u.ku.ndi.ra
ukundana;gukunda;two;sg;present;active;indicative;comitative;to love;ukundana;perfective;present;.u.ku.nda.na.;u.ku.nda.na
ukundagura;gukunda;two;sg;present;active;indicative;frequentative;to love;ukundagura;perfective;present;.u.ku.nda.gu.ra.;u.ku.nda.gu.ra
ukundurura;gukunda;two;sg;present;active;indicative;iterative;to love;ukundurura;perfective;present;.u.ku.ndu.ru.ra.;u.ku.ndu.ru.ra
ukundura;gukunda;two;sg;present;active;indicative;reversive;to love;ukundura;perfective;present;.u.ku.ndu.ra.;u.ku.ndu.ra
akunda;gukunda;three;sg;present;active;indicative;neutral;to love;akunda;perfective;present;.a.ku.nda.;a.ku.nda
akundisha;gukunda;three;sg;present;active;indicative;causative;to love;akundisha;perfective;present;.a.ku.ndi.sha.;a.ku.ndi.sha
akundira;gukunda;three;sg;present;active;indicative;applicative;to love;akundira;perfective;present;.a.ku.ndi.ra.;a.ku.ndi.ra
akundana;gukunda;three;sg;present;active;indicative;comitative;to love;akundana;perfective;present;.a.ku.nda.na.;a.ku.nda.na
akundagura;gukunda;three;sg;present;active;indicative;frequentative;to love;akundagura;perfective;present;.a.ku.nda.gu.ra.;a.ku.nda.gu.ra
akundurura;gukunda;three;sg;present;active;indicative;iterative;to love;akundurura;perfective;present;.a.ku.ndu.ru.ra.;a.ku.ndu.ru.ra
akundura;gukunda;three;sg;present;active;indicative;reversive;to love;akundura;perfective;present;.a.ku.ndu.ra.;a.ku.ndu.ra
dukunda;gukunda;one;pl;present;active;indicative;neutral;to love;dukunda;perfective;present;.du.ku.nda.;du.ku.nda
dukundisha;gukunda;one;pl;present;active;indicative;causative;to love;dukundisha;perfective;present;.du.ku.ndi.sha.;du.ku.ndi.sha
dukundira;gukunda;one;pl;present;active;indicative;applicative;to love;dukundira;perfective;present;.du.ku.ndi.ra.;du.ku.ndi.ra
dukundana;gukunda;one;pl;present;active;indicative;comitative;to love;dukundana;perfective;present;.du.ku.nda.na.;du.ku.nda.na
dukundagura;gukunda;one;pl;present;active;indicative;frequentative;to love;dukundagura;perfective;present;.du.ku.nda.gu.ra.;du.ku.nda.gu.ra
dukundurura;gukunda;one;pl;present;active;indicative;iterative;to love;dukundurura;perfective;present;.du.ku.ndu.ru.ra.;du.ku.ndu.ru.ra
dukundura;gukunda;one;pl;present;active;indicative;reversive;to love;dukundura;perfective;present;.du.ku.ndu.ra.;du.ku.ndu.ra
mukunda;gukunda;two;pl;present;active;indicative;neutral;to love;mukunda;perfective;present;.mu.ku.nda.;mu.ku.nda
mukundisha;gukunda;two;pl;present;active;indicative;causative;to love;mukundisha;perfective;present;.mu.ku.ndi.sha.;mu.ku.ndi.sha
mukundira;gukunda;two;pl;present;active;indicative;applicative;to love;mukundira;perfective;present;.mu.ku.ndi.ra.;mu.ku.ndi.ra
mukundana;gukunda;two;pl;present;active;indicative;comitative;to love;mukundana;perfective;present;.mu.ku.nda.na.;mu.ku.nda.na
mukundagura;gukunda;two;pl;present;active;indicative;frequentative;to love;mukundagura;perfective;present;.mu.ku.nda.gu.ra.;mu.ku.nda.gu.ra
mukundurura;gukunda;two;pl;present;active;indicative;iterative;to love;mukundurura;perfective;present;.mu.ku.ndu.ru.ra.;mu.ku.ndu.ru.ra
mukundura;gukunda;two;pl;present;active;indicative;reversive;to love;mukundura;perfective;present;.mu.ku.ndu.ra.;mu.ku.ndu.ra
bakunda;gukunda;three;pl;present;active;indicative;neutral;to love;bakunda;perfective;present;.ba.ku.nda.;ba.ku.nda
bakundisha;gukunda;three;pl;present;active;indicative;causative;to love;bakundisha;perfective;present;.ba.ku.ndi.sha.;ba.ku.ndi.sha
bakundira;gukunda;three;pl;present;active;indicative;applicative;to love;bakundira;perfective;present;.ba.ku.ndi.ra.;ba.ku.ndi.ra
bakundana;gukunda;three;pl;present;active;indicative;comitative;to love;bakundana;perfective;present;.ba.ku.nda.na.;ba.ku.nda.na
bakundagura;gukunda;three;pl;present;active;indicative;frequentative;to love;bakundagura;perfective;present;.ba.ku.nda.gu.ra.;ba.ku.nda.gu.ra
bakundurura;gukunda;three;pl;present;active;indicative;iterative;to love;bakundurura;perfective;present;.ba.ku.ndu.ru.ra.;ba.ku.ndu.ru.ra
bakundura;gukunda;three;pl;present;active;indicative;reversive;to love;bakundura;perfective;present;.ba.ku.ndu.ra.;ba.ku.ndu.ra
nkunde;gukunda;one;sg;present;active;subjunctive;neutral;to love;nkunde;perfective;present;.nku.nde.;nku.nde
nkundishe;gukunda;one;sg;present;active;subjunctive;causative;to love;nkundishe;perfective;present;.nku.ndi.she.;nku.ndi.she
nkundire;gukunda;one;sg;present;active;subjunctive;applicative;to love;nkundire;perfective;present;.nku.ndi.re.;nku.ndi.re
nkundane;gukunda;one;sg;present;active;subjunctive;comitative;to love;nkundane;perfective;present;.nku.nda.ne.;nku.nda.ne
nkundagure;gukunda;one;sg;present;active;subjunctive;frequentative;to love;nkundagure;perfective;present;.nku.nda.gu.re.;nku.nda.gu.re
nkundurure;gukunda;one;sg;present;active;subjunctive;iterative;to love;nkundurure;perfective;present;.nku.ndu.ru.re.;nku.ndu.ru.re
nkundure;gukunda;one;sg;present;active;subjunctive;reversive;to love;nkundure;perfective;present;.nku.ndu.re.;nku.ndu.re
ukunde;gukunda;two;sg;present;active;subjunctive;neutral;to love;ukunde;perfective;present;.u.ku.nde.;u.ku.nde
ukundishe;gukunda;two;sg;present;active;subjunctive;causative;to love;ukundishe;perfective;present;.u.ku.ndi.she.;u.ku.ndi.she
ukundire;gukunda;two;sg;present;active;subjunctive;applicative;to love;ukundire;perfective;present;.u.ku.ndi.re.;u.ku.ndi.re
ukundane;gukunda;two;sg;present;active;subjunctive;comitative;to love;ukundane;perfective;present;.u.ku.nda.ne.;u.ku.nda.ne
ukundagure;gukunda;two;sg;present;active;subjunctive;frequentative;to love;ukundagure;perfective;present;.u.ku.nda.gu.re.;u.ku.nda.gu.re
ukundurure;gukunda;two;sg;present;active;subjunctive;iterative;to love;ukundurure;perfective;present;.u.ku.ndu.ru.re.;u.ku.ndu.ru.re
ukundure;gukunda;two;sg;present;active;subjunctive;reversive;to love;ukundure;perfective;present;.u.ku.ndu.re.;u.ku.ndu.re
akunde;gukunda;three;sg;present;active;subjunctive;neutral;to love;akunde;perfective;present;.a.ku.nde.;a.ku.nde
akundishe;gukunda;three;sg;present;active;subjunctive;causative;to love;akundishe;perfective;present;.a.ku.ndi.she.;a.ku.ndi.she
akundire;gukunda;three;sg;present;active;subjunctive;applicative;to love;akundire;perfective;present;.a.ku.ndi.re.;a.ku.ndi.re
akundane;gukunda;three;sg;present;active;subjunctive;comitative;to love;akundane;perfective;present;.a.ku.nda.ne.;a.ku.nda.ne
akundagure;gukunda;three;sg;present;active;subjunctive;frequentative;to love;akundagure;perfective;present;.a.ku.nda.gu.re.;a.ku.nda.gu.re
akundurure;gukunda;three;sg;present;active;subjunctive;iterative;to love;akundurure;perfective;present;.a.ku.ndu.ru.re.;a.ku.ndu.ru.re
akundure;gukunda;three;sg;present;active;subjunctive;reversive;to love;akundure;perfective;present;.a.ku.ndu.re.;a.ku.ndu.re
dukunde;gukunda;one;pl;present;active;subjunctive;neutral;to love;dukunde;perfective;present;.du.ku.nde.;du.ku.nde
dukundishe;gukunda;one;pl;present;active;subjunctive;causative;to love;dukundishe;perfective;present;.du.ku.ndi.she.;du.ku.ndi.she
dukundire;gukunda;one;pl;present;active;subjunctive;applicative;to love;dukundire;perfective;present;.du.ku.ndi.re.;du.ku.ndi.re
dukundane;gukunda;one;pl;present;active;subjunctive;comitative;to love;dukundane;perfective;present;.du.ku.nda.ne.;du.ku.nda.ne
dukundagure;gukunda;one;pl;present;active;subjunctive;frequentative;to love;dukundagure;perfective;present;.du.ku.nda.gu.re.;du.ku.nda.gu.re
dukundurure;gukunda;one;pl;present;active;subjunctive;iterative;to love;dukundurure;perfective;present;.du.ku.ndu.ru.re.;du.ku.ndu.ru.re
dukundure;gukunda;one;pl;present;active;subjunctive;reversive;to love;dukundure;perfective;present;.du.ku.ndu.re.;du.ku.ndu.re
mukunde;gukunda;two;pl;present;active;subjunctive;neutral;to love;mukunde;perfective;present;.mu.ku.nde.;mu.ku.nde
mukundishe;gukunda;two;pl;present;active;subjunctive;causative;to love;mukundishe;perfective;present;.mu.ku.ndi.she.;mu.ku.ndi.she
mukundire;gukunda;two;pl;present;active;subjunctive;applicative;to love;mukundire;perfective;present;.mu.ku.ndi.re.;mu.ku.ndi.re
mukundane;gukunda;two;pl;present;active;subjunctive;comitative;to love;mukundane;perfective;present;.mu.ku.nda.ne.;mu.ku.nda.ne
mukundagure;gukunda;two;pl;present;active;subjunctive;frequentative;to love;mukundagure;perfective;present;.mu.ku.nda.gu.re.;mu.ku.nda.gu.re
mukundurure;gukunda;two;pl;present;active;subjunctive;iterative;to love;mukundurure;perfective;present;.mu.ku.ndu.ru.re.;mu.ku.ndu.ru.re
mukundure;gukunda;two;pl;present;active;subjunctive;reversive;to love;mukundure;perfective;present;.mu.ku.ndu.re.;mu.ku.ndu.re
bakunde;gukunda;three;pl;present;active;subjunctive;neutral;to love;bakunde;perfective;present;.ba.ku.nde.;ba.ku.nde
bakundishe;gukunda;three;pl;present;active;subjunctive;causative;to love;bakundishe;perfective;present;.ba.ku.ndi.she.;ba.ku.ndi.she
bakundire;gukunda;three;pl;present;active;subjunctive;applicative;to love;bakundire;perfective;present;.ba.ku.ndi.re.;ba.ku.ndi.re
bakundane;gukunda;three;pl;present;active;subjunctive;comitative;to love;bakundane;perfective;present;.ba.ku.nda.ne.;ba.ku.nda.ne
bakundagure;gukunda;three;pl;present;active;subjunctive;frequentative;to love;bakundagure;perfective;present;.ba.ku.nda.gu.re.;ba.ku.nda.gu.re
bakundurure;gukunda;three;pl;present;active;subjunctive;iterative;to love;bakundurure;perfective;present;.ba.ku.ndu.ru.re.;ba.ku.ndu.ru.re
bakundure;gukunda;three;pl;present;active;subjunctive;reversive;to love;bakundure;perfective;present;.ba.ku.ndu.re.;ba.ku.ndu.re
kunda;gukunda;two;sg;present;active;imperative;neutral;to love;kunda;perfective;present;.ku.nda.;ku.nda
kundisha;gukunda;two;sg;present;active;imperative;causative;to love;kundisha;perfective;present;.ku.ndi.sha.;ku.ndi.sha
kundira;gukunda;two;sg;present;active;imperative;applicative;to love;kundira;perfective;present;.ku.ndi.ra.;ku.ndi.ra
kundana;gukunda;two;sg;present;active;imperative;comitative;to love;kundana;perfective;present;.ku.nda.na.;ku.nda.na
kundagura;gukunda;two;sg;present;active;imperative;frequentative;to love;kundagura;perfective;present;.ku.nda.gu.ra.;ku.nda.gu.ra
kundurura;gukunda;two;sg;present;active;imperative;iterative;to love;kundurura;perfective;present;.ku.ndu.ru.ra.;ku.ndu.ru.ra
kundura;gukunda;two;sg;present;active;imperative;reversive;to love;kundura;perfective;present;.ku.ndu.ra.;ku.ndu.ra
nimukunde;gukunda;two;pl;present;active;imperative;neutral;to love;nimukunde;perfective;present;.ni.mu.ku.nde.;ni.mu.ku.nde
nimukundishe;gukunda;two;pl;present;active;imperative;causative;to love;nimukundishe;perfective;present;.ni.mu.ku.ndi.she.;ni.mu.ku.ndi.she
nimukundire;gukunda;two;pl;present;active;imperative;applicative;to love;nimukundire;perfective;present;.ni.mu.ku.ndi.re.;ni.mu.ku.ndi.re
nimukundane;gukunda;two;pl;present;active;imperative;comitative;to love;nimukundane;perfective;present;.ni.mu.ku.nda.ne.;ni.mu.ku.nda.ne
nimukundagure;gukunda;two;pl;present;active;imperative;frequentative;to love;nimukundagure;perfective;present;.ni.mu.ku.nda.gu.re.;ni.mu.ku.nda.gu.re
nimukundurure;gukunda;two;pl;present;active;imperative;iterative;to love;nimukundurure;perfective;present;.ni.mu.ku.ndu.ru.re.;ni.mu.ku.ndu.ru.re
nimukundure;gukunda;two;pl;present;active;imperative;reversive;to love;nimukundure;perfective;present;.ni.mu.ku.ndu.re.;ni.mu.ku.ndu.re
nkundwa;gukunda;one;sg;present;passive;indicative;neutral;to love;nkundwa;perfective;present;.nku.ndwa.;nku.ndwa
nkundishwa;gukunda;one;sg;present;passive;indicative;causative;to love;nkundishwa;perfective;present;.nku.ndi.shwa.;nku.ndi.shwa
nkundirwa;gukunda;one;sg;present;passive;indicative;applicative;to love;nkundirwa;perfective;present;.nku.ndi.rwa.;nku.ndi.rwa
nkundanwa;gukunda;one;sg;present;passive;indicative;comitative;to love;nkundanwa;perfective;present;.nku.nda.nwa.;nku.nda.nwa
nkundagurwa;gukunda;one;sg;present;passive;indicative;frequentative;to love;nkundagurwa;perfective;present;.nku.nda.gu.rwa.;nku.nda.gu.rwa
nkundururwa;gukunda;one;sg;present;passive;indicative;iterative;to love;nkundururwa;perfective;present;.nku.ndu.ru.rwa.;nku.ndu.ru.rwa
nkundurwa;gukunda;one;sg;present;passive;indicative;reversive;to love;nkundurwa;perfective;present;.nku.ndu.rwa.;nku.ndu.rwa
ukundwa;gukunda;two;sg;present;passive;indicative;neutral;to love;ukundwa;perfective;present;.u.ku.ndwa.;u.ku.ndwa
ukundishwa;gukunda;two;sg;present;passive;indicative;causative;to love;ukundishwa;perfective;present;.u.ku.ndi.shwa.;u.ku.ndi.shwa
ukundirwa;gukunda;two;sg;present;passive;indicative;applicative;to love;ukundirwa;perfective;present;.u.ku.ndi.rwa.;u.ku.ndi.rwa
ukundanwa;gukunda;two;sg;present;passive;indicative;comitative;to love;ukundanwa;perfective;present;.u.ku.nda.nwa.;u.ku.nda.nwa
ukundagurwa;gukunda;two;sg;present;passive;indicative;frequentative;to love;ukundagurwa;perfective;present;.u.ku.nda.gu.rwa.;u.ku.nda.gu.rwa
ukundururwa;gukunda;two;sg;present;passive;indicative;iterative;to love;ukundururwa;perfective;present;.u.ku.ndu.ru.rwa.;u.ku.ndu.ru.rwa
ukundurwa;gukunda;two;sg;present;passive;indicative;reversive;to love;ukundurwa;perfective;present;.u.ku.ndu.rwa.;u.ku.ndu.rwa
akundwa;gukunda;three;sg;present;passive;indicative;neutral;to love;akundwa;perfective;present;.a.ku.ndwa.;a.ku.ndwa
akundishwa;gukunda;three;sg;present;passive;indicative;causative;to love;akundishwa;perfective;present;.a.ku.ndi.shwa.;a.ku.ndi.shwa
akundirwa;gukunda;three;sg;present;passive;indicative;applicative;to love;akundirwa;perfective;present;.a.ku.ndi.rwa.;a.ku.ndi.rwa
akundanwa;gukunda;three;sg;present;passive;indicative;comitative;to love;akundanwa;perfective;present;.a.ku.nda.nwa.;a.ku.nda.nwa
akundagurwa;gukunda;three;sg;present;passive;indicative;frequentative;to love;akundagurwa;perfective;present;.a.ku.nda.gu.rwa.;a.ku.nda.gu.rwa
akundururwa;gukunda;three;sg;present;passive;indicative;iterative;to love;akundururwa;perfective;present;.a.ku.ndu.ru.rwa.;a.ku.ndu.ru.rwa
akundurwa;gukunda;three;sg;present;passive;indicative;reversive;to love;akundurwa;perfective;present;.a.ku.ndu.rwa.;a.ku.ndu.rwa
dukundwa;gukunda;one;pl;present;passive;indicative;neutral;to love;dukundwa;perfective;present;.du.ku.ndwa.;du.ku.ndwa
dukundishwa;gukunda;one;pl;present;passive;indicative;causative;to love;dukundishwa;perfective;present;.du.ku.ndi.shwa.;du.ku.ndi.shwa
dukundirwa;gukunda;one;pl;present;passive;indicative;applicative;to love;dukundirwa;perfective;present;.du.ku.ndi.rwa.;du.ku.ndi.rwa
dukundanwa;gukunda;one;pl;present;passive;indicative;comitative;to love;dukundanwa;perfective;present;.du.ku.nda.nwa.;du.ku.nda.nwa
dukundagurwa;gukunda;one;pl;present;passive;indicative;frequentative;to love;dukundagurwa;perfective;present;.du.ku.nda.gu.rwa.;du.ku.nda.gu.rwa
dukundururwa;gukunda;one;pl;present;passive;indicative;iterative;to love;dukundururwa;perfective;present;.du.ku.ndu.ru.rwa.;du.ku.ndu.ru.rwa
dukundurwa;gukunda;one;pl;present;passive;indicative;reversive;to love;dukundurwa;perfective;present;.du.ku.ndu.rwa.;du.ku.ndu.rwa
mukundwa;gukunda;two;pl;present;passive;indicative;neutral;to love;mukundwa;perfective;present;.mu.ku.ndwa.;mu.ku.ndwa
mukundishwa;gukunda;two;pl;present;passive;indicative;causative;to love;mukundishwa;perfective;present;.mu.ku.ndi.shwa.;mu.ku.ndi.shwa
mukundirwa;gukunda;two;pl;present;passive;indicative;applicative;to love;mukundirwa;perfective;present;.mu.ku.ndi.rwa.;mu.ku.ndi.rwa
mukundanwa;gukunda;two;pl;present;passive;indicative;comitative;to love;mukundanwa;perfective;present;.mu.ku.nda.nwa.;mu.ku.nda.nwa
mukundagurwa;gukunda;two;pl;present;passive;indicative;frequentative;to love;mukundagurwa;perfective;present;.mu.ku.nda.gu.rwa.;mu.ku.nda.gu.rwa
mukundururwa;gukunda;two;pl;present;passive;indicative;iterative;to love;mukundururwa;perfective;present;.mu.ku.ndu.ru.rwa.;mu.ku.ndu.ru.rwa
mukundurwa;gukunda;two;pl;present;passive;indicative;reversive;to love;mukundurwa;perfective;present;.mu.ku.ndu.rwa.;mu.ku.ndu.rwa
bakundwa;gukunda;three;pl;present;passive;indicative;neutral;to love;bakundwa;perfective;present;.ba.ku.ndwa.;ba.ku.ndwa
bakundishwa;gukunda;three;pl;present;passive;indicative;causative;to love;bakundishwa;perfective;present;.ba.ku.ndi.shwa.;ba.ku.ndi.shwa
bakundirwa;gukunda;three;pl;present;passive;indicative;applicative;to love;bakundirwa;perfective;present;.ba.ku.ndi.rwa.;ba.ku.ndi.rwa
bakundanwa;gukunda;three;pl;present;passive;indicative;comitative;to love;bakundanwa;perfective;present;.ba.ku.nda.nwa.;ba.ku.nda.nwa
bakundagurwa;gukunda;three;pl;present;passive;indicative;frequentative;to love;bakundagurwa;perfective;present;.ba.ku.nda.gu.rwa.;ba.ku.nda.gu.rwa
bakundururwa;gukunda;three;pl;present;passive;indicative;iterative;to love;bakundururwa;perfective;present;.ba.ku.ndu.ru.rwa.;ba.ku.ndu.ru.rwa
bakundurwa;gukunda;three;pl;present;passive;indicative;reversive;to love;bakundurwa;perfective;present;.ba.ku.ndu.rwa.;ba.ku.ndu.rwa
nkundwe;gukunda;one;sg;present;passive;subjunctive;neutral;to love;nkundwe;perfective;present;.nku.ndwe.;nku.ndwe
nkundishwe;gukunda;one;sg;present;passive;subjunctive;causative;to love;nkundishwe;perfective;present;.nku.ndi.shwe.;nku.ndi.shwe
nkundirwe;gukunda;one;sg;present;passive;subjunctive;applicative;to love;nkundirwe;perfective;present;.nku.ndi.rwe.;nku.ndi.rwe
nkundanwe;gukunda;one;sg;present;passive;subjunctive;comitative;to love;nkundanwe;perfective;present;.nku.nda.nwe.;nku.nda.nwe
nkundagurwe;gukunda;one;sg;present;passive;subjunctive;frequentative;to love;nkundagurwe;perfective;present;.nku.nda.gu.rwe.;nku.nda.gu.rwe
nkundururwe;gukunda;one;sg;present;passive;subjunctive;iterative;to love;nkundururwe;perfective;present;.nku.ndu.ru.rwe.;nku.ndu.ru.rwe
nkundurwe;gukunda;one;sg;present;passive;subjunctive;reversive;to love;nkundurwe;perfective;present;.nku.ndu.rwe.;nku.ndu.rwe
ukundwe;gukunda;two;sg;present;passive;subjunctive;neutral;to love;ukundwe;perfective;present;.u.ku.ndwe.;u.ku.ndwe
ukundishwe;gukunda;two;sg;present;passive;subjunctive;causative;to love;ukundishwe;perfective;present;.u.ku.ndi.shwe.;u.ku.ndi.shwe
ukundirwe;gukunda;two;sg;present;passive;subjunctive;applicative;to love;ukundirwe;perfective;present;.u.ku.ndi.rwe.;u.ku.ndi.rwe
ukundanwe;gukunda;two;sg;present;passive;subjunctive;comitative;to love;ukundanwe;perfective;present;.u.ku.nda.nwe.;u.ku.nda.nwe
ukundagurwe;gukunda;two;sg;present;passive;subjunctive;frequentative;to love;ukundagurwe;perfective;present;.u.ku.nda.gu.rwe.;u.ku.nda.gu.rwe
ukundururwe;gukunda;two;sg;present;passive;subjunctive;iterative;to love;ukundururwe;perfective;present;.u.ku.ndu.ru.rwe.;u.ku.ndu.ru.rwe
ukundurwe;gukunda;two;sg;present;passive;subjunctive;reversive;to love;ukundurwe;perfective;present;.u.ku.ndu.rwe.;u.ku.ndu.rwe
akundwe;gukunda;three;sg;present;passive;subjunctive;neutral;to love;akundwe;perfective;present;.a.ku.ndwe.;a.ku.ndwe
akundishwe;gukunda;three;sg;present;passive;subjunctive;causative;to love;akundishwe;perfective;present;.a.ku.ndi.shwe.;a.ku.ndi.shwe
akundirwe;gukunda;three;sg;present;passive;subjunctive;applicative;to love;akundirwe;perfective;present;.a.ku.ndi.rwe.;a.ku.ndi.rwe
akundanwe;gukunda;three;sg;present;passive;subjunctive;comitative;to love;akundanwe;perfective;present;.a.ku.nda.nwe.;a.ku.nda.nwe
akundagurwe;gukunda;three;sg;present;passive;subjunctive;frequentative;to love;akundagurwe;perfective;present;.a.ku.nda.gu.rwe.;a.ku.nda.gu.rwe
akundururwe;gukunda;three;sg;present;passive;subjunctive;iterative;to love;akundururwe;perfective;present;.a.ku.ndu.ru.rwe.;a.ku.ndu.ru.rwe
akundurwe;gukunda;three;sg;present;passive;subjunctive;reversive;to love;akundurwe;perfective;present;.a.ku.ndu.rwe.;a.ku.ndu.rwe
dukundwe;gukunda;one;pl;present;passive;subjunctive;neutral;to love;dukundwe;perfective;present;.du.ku.ndwe.;du.ku.ndwe
dukundishwe;gukunda;one;pl;present;passive;subjunctive;causative;to love;dukundishwe;perfective;present;.du.ku.ndi.shwe.;du.ku.ndi.shwe
dukundirwe;gukunda;one;pl;present;passive;subjunctive;applicative;to love;dukundirwe;perfective;present;.du.ku.ndi.rwe.;du.ku.ndi.rwe
dukundanwe;gukunda;one;pl;present;passive;subjunctive;comitative;to love;dukundanwe;perfective;present;.du.ku.nda.nwe.;du.ku.nda.nwe
dukundagurwe;gukunda;one;pl;present;passive;subjunctive;frequentative;to love;dukundagurwe;perfective;present;.du.ku.nda.gu.rwe.;du.ku.nda.gu.rwe
